# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Parallel measurements at the KNMI terrain in De Bilt the Netherlands in the period 1947-1950 as described in T. Brandsma, Pagodemetingen De Bilt, Meterologica 1, p12-16, 2019. 
# 
# Location: LON(east) = 5.18,  LAT(north) = 52.1
# Altitude:    ALT(m) = 1.90
# 
# year = year;
# month = month;
# day = day;
# TN_Pag = daily minimum temperature Pagode measured from 19-19 UTC (degree Celsius); 
# TX_Pag = daily maximum temperature Pagode measured from 19-19 UTC (degree Celsius); 
# TN_Stev = daily minimum temperature Stevenson measured from 19-19 UTC (degree Celsius); 
# TX_Stev = daily maximum temperature Stevenson measured from 19-19 UTC (degree Celsius); 
# period = observation period (1 = 25 Mar 1947 - 28 Feb 1949, 2 = 1 Mar 1949 - 31 Mar 1950, 3 = 1 Apr 1950 - 31 Aug 1950)
#
#
year,month,day,TN_Pag,TX_Pag,TN_Stev,TX_Stev,period
1947,3,25,0.6,9.8,NA,NA,period 1
1947,3,26,0.3,12.6,0.4,12.4,period 1
1947,3,27,3,12.3,NA,NA,period 1
1947,3,28,6.7,14.9,7.2,14.8,period 1
1947,3,29,9.5,16.9,9.5,16.6,period 1
1947,3,30,7.6,13.1,7.6,NA,period 1
1947,3,31,4.7,14.8,5.2,14.8,period 1
1947,4,1,3.9,9.2,3.8,9.3,period 1
1947,4,2,0.7,10.1,0.6,10,period 1
1947,4,3,0.7,6.3,0.5,6.4,period 1
1947,4,4,3.6,11.1,3.7,11,period 1
1947,4,5,-0.3,8.8,-0.6,8.8,period 1
1947,4,6,7,11,7.1,11.1,period 1
1947,4,7,7.2,12.7,7.3,12.6,period 1
1947,4,8,7,14.3,7.2,14.5,period 1
1947,4,9,2,9.4,2.2,9,period 1
1947,4,10,-1.3,11.8,-1.3,11.6,period 1
1947,4,11,-1.1,15.1,-1,15.1,period 1
1947,4,12,2.9,16,3,15.6,period 1
1947,4,13,4.1,18,4.2,17.6,period 1
1947,4,14,3,18.5,3.7,17.7,period 1
1947,4,15,5.7,15,5.7,14.7,period 1
1947,4,16,8,17.1,8.4,17.3,period 1
1947,4,17,5.5,16.3,6.1,16.1,period 1
1947,4,18,2.7,16.9,2.6,16.2,period 1
1947,4,19,5.2,16,5.4,15.6,period 1
1947,4,20,4,19.4,3.9,19.3,period 1
1947,4,21,8.9,16,8.9,16,period 1
1947,4,22,9.2,17.2,9.4,16.7,period 1
1947,4,23,6.8,14.2,6.8,14.1,period 1
1947,4,24,8.4,13.8,8.2,13.5,period 1
1947,4,25,5.1,20.1,5.5,19.7,period 1
1947,4,26,8.8,16.6,9.2,16.7,period 1
1947,4,27,0.9,19.3,0.5,18.7,period 1
1947,4,28,8.8,13.9,8.9,14,period 1
1947,4,29,6.9,11.9,7.4,11.4,period 1
1947,4,30,5.2,10,5.3,9.9,period 1
1947,5,1,5.1,10,5.2,10.1,period 1
1947,5,2,4.3,7.9,4.7,7.9,period 1
1947,5,3,5.9,16.5,6.4,16.4,period 1
1947,5,4,7.2,12.4,7.5,12.6,period 1
1947,5,5,7.7,13.7,7.9,13.6,period 1
1947,5,6,5,19.8,5.1,19,period 1
1947,5,7,7,23.2,7,23,period 1
1947,5,8,11,24.5,10.9,24.2,period 1
1947,5,9,11.9,27.7,12.1,27.7,period 1
1947,5,10,15.6,27.8,16.2,27.4,period 1
1947,5,11,13.2,20.3,13.5,20.2,period 1
1947,5,12,13.9,23.9,13.7,23.7,period 1
1947,5,13,13.8,28,14,27.7,period 1
1947,5,14,13.7,27.1,14,26.9,period 1
1947,5,15,11,22.8,11.1,23,period 1
1947,5,16,9.8,17.9,NA,NA,period 1
1947,5,17,10.3,17.2,NA,NA,period 1
1947,5,18,10.1,14,NA,NA,period 1
1947,5,19,9.4,17.3,NA,NA,period 1
1947,5,20,5.5,18.1,NA,NA,period 1
1947,5,21,8.8,17.7,NA,NA,period 1
1947,5,22,8.2,21,NA,NA,period 1
1947,5,23,11,19.7,NA,NA,period 1
