# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Parallel measurements at the KNMI terrain in De Bilt the Netherlands in the period 2016-2018 as described in T. Brandsma, Pagodemetingen De Bilt, Meterologica 1, p12-16, 2019. 
# 
# Location: LON(east) = 5.18,  LAT(north) = 52.1
# Altitude:    ALT(m) = 1.90
# 
# year = year;
# month = month;
# day = day;
# screen = screen type (Pagode or Stevenson)
# TMEAN = daily mean temperature measured from 0-0 UTC (degree Celsius); 
# TX = daily maximum temperature Pagode measured from 0-0 UTC (degree Celsius); 
# TN = daily minimum temperature measured from 0-0 UTC (degree Celsius); 
#
#
year,month,day,screen,TMEAN,TX,TN
2016,9,1,Pagode,17.5,23.5,11.2
2016,9,1,Stevenson,17.2,22.9,11.1
2016,9,2,Pagode,16.7,22.1,10.6
2016,9,2,Stevenson,16.4,21.4,10.4
2016,9,3,Pagode,18.6,23.3,14.1
2016,9,3,Stevenson,18.3,22.6,13.8
2016,9,4,Pagode,18.2,21.3,15.7
2016,9,4,Stevenson,17.9,20.7,15.5
2016,9,5,Pagode,17.8,22.9,12.5
2016,9,5,Stevenson,17.4,22.6,12.3
2016,9,6,Pagode,18.3,24,12.2
2016,9,6,Stevenson,18,23.5,12.1
2016,9,7,Pagode,19.2,27.4,12.6
2016,9,7,Stevenson,18.9,26.8,12.4
2016,9,8,Pagode,NA,NA,NA
2016,9,8,Stevenson,NA,NA,NA
2016,9,9,Pagode,17.5,23.8,12.2
2016,9,9,Stevenson,17.2,23.1,12.2
2016,9,10,Pagode,18.9,26.1,12.3
2016,9,10,Stevenson,18.6,25.6,12.1
2016,9,11,Pagode,18.7,21.9,15.6
2016,9,11,Stevenson,18.5,21.5,15.3
2016,9,12,Pagode,21.4,28.7,15.7
2016,9,12,Stevenson,21.1,28.2,15.5
2016,9,13,Pagode,24.3,32,16.7
2016,9,13,Stevenson,24.1,31.5,16.7
2016,9,14,Pagode,NA,NA,NA
2016,9,14,Stevenson,NA,NA,NA
2016,9,15,Pagode,23,29.7,16.7
2016,9,15,Stevenson,22.8,29.2,16.5
2016,9,16,Pagode,17.6,21.6,15.6
2016,9,16,Stevenson,17.4,21.2,15.5
2016,9,17,Pagode,NA,NA,NA
2016,9,17,Stevenson,NA,NA,NA
2016,9,18,Pagode,17.1,20.9,14.2
2016,9,18,Stevenson,16.8,20.4,14
2016,9,19,Pagode,NA,NA,NA
2016,9,19,Stevenson,NA,NA,NA
2016,9,20,Pagode,14.9,20.7,8.6
2016,9,20,Stevenson,14.6,19.7,8.4
2016,9,21,Pagode,15.5,21.3,9.8
2016,9,21,Stevenson,15.2,20.8,9.7
2016,9,22,Pagode,14.4,21.7,8
2016,9,22,Stevenson,14.1,21.2,7.8
2016,9,23,Pagode,14.1,20.7,8.2
2016,9,23,Stevenson,13.8,20.1,8
2016,9,24,Pagode,15.8,24.1,8.5
2016,9,24,Stevenson,15.5,23.6,8.3
2016,9,25,Pagode,16.4,24.7,11.7
2016,9,25,Stevenson,16.1,24.2,11.3
2016,9,26,Pagode,13.9,19.4,8.4
2016,9,26,Stevenson,13.6,18.9,8.3
2016,9,27,Pagode,14.8,20.9,6.4
2016,9,27,Stevenson,14.5,20.5,6.3
2016,9,28,Pagode,18.8,22,16.2
2016,9,28,Stevenson,18.6,21.5,16.1
2016,9,29,Pagode,16,17.9,13.7
2016,9,29,Stevenson,15.8,17.7,13.5
2016,9,30,Pagode,14.6,18.9,11.4
2016,9,30,Stevenson,14.4,18.4,11.1
2016,10,1,Pagode,13.8,18,10.5
2016,10,1,Stevenson,13.6,17.5,10.3
2016,10,2,Pagode,12.1,16.1,8.9
2016,10,2,Stevenson,11.9,15.6,8.8
2016,10,3,Pagode,14.6,19.5,11
2016,10,3,Stevenson,14.2,18.7,10.9
2016,10,4,Pagode,13.3,17.5,10.2
2016,10,4,Stevenson,13.1,17,10
2016,10,5,Pagode,10.2,14.4,5.9
2016,10,5,Stevenson,9.9,13.9,5.6
2016,10,6,Pagode,9.6,13,4.6
2016,10,6,Stevenson,9.4,12.7,4.3
2016,10,7,Pagode,12,14.7,10.2
2016,10,7,Stevenson,11.8,14.3,10.1
2016,10,8,Pagode,11.4,14.6,7
2016,10,8,Stevenson,11.1,14.1,6.7
2016,10,9,Pagode,8.6,15.1,2.4
2016,10,9,Stevenson,8.2,14.5,2.4
2016,10,10,Pagode,8.3,13.9,2.6
2016,10,10,Stevenson,8,13.1,2.5
2016,10,11,Pagode,8.4,13,1
2016,10,11,Stevenson,8.2,12.5,0.9
2016,10,12,Pagode,9.1,11.2,7.2
2016,10,12,Stevenson,9,10.8,7.1
2016,10,13,Pagode,9.3,11.6,7.9
2016,10,13,Stevenson,9.1,11.3,7.8
2016,10,14,Pagode,10.2,13.6,7.5
2016,10,14,Stevenson,10,13.3,7.4
2016,10,15,Pagode,10.8,13.9,9.1
2016,10,15,Stevenson,10.7,13.7,8.9
2016,10,16,Pagode,13.6,19.1,8.5
2016,10,16,Stevenson,13.4,18.8,8.4
2016,10,17,Pagode,NA,NA,NA
2016,10,17,Stevenson,NA,NA,NA
2016,10,18,Pagode,10.2,13,6.9
2016,10,18,Stevenson,10,12.8,6.6
2016,10,19,Pagode,8.9,12.2,5.3
2016,10,19,Stevenson,8.7,11.7,5.1
2016,10,20,Pagode,8.6,12.2,4.2
2016,10,20,Stevenson,8.4,11.9,4
2016,10,21,Pagode,7.7,13.1,2.2
2016,10,21,Stevenson,7.4,12.5,2.2
2016,10,22,Pagode,7.1,10.6,1.6
2016,10,22,Stevenson,6.9,10.2,1.5
2016,10,23,Pagode,5.2,12.2,-0.4
2016,10,23,Stevenson,4.9,11.6,-0.5
